"simulacao";"alunos";"aluguel";"custo";"pessoal";"despesas";"imposto";"fluxoCaixa";"fluxoAcumulado";"ano"
1;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
1;586633,990575057;172192,685752955;95388,7532464589;265009,806597903;31275,5283204782;30353,0670531205;336799,521110051;-366140,428889949;1
1;663748,172341588;174573,677735445;103720,902431609;289690,559843278;34263,6980168538;33532,8740030813;377113,815782211;10973,3868922621;2
1;741222,487804326;176458,098428129;114508,676440015;318980,253207077;37499,6160906736;36707,2234492982;409984,817045393;420958,203937655;3
1;840255,292851215;179093,590888825;123707,596807317;353115,465358475;41072,2827369333;40773,9553496016;460679,583487713;881637,787425367;4
2;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
2;578235,807412429;172256,159886422;93178,6834846558;263085,142653161;31061,3075983549;30019,6786919541;333147,154870725;-369792,795129275;1
2;595235,477953595;176585,579259039;102639,462885141;286399,387734151;34556,889667538;30872,8422885053;317352,474637298;-52440,3204919767;2
2;650469,715230908;175022,418196628;113822,161344299;317554,29543935;38296,4915022026;33019,6853371015;322799,499804584;270359,179312607;3
2;715945,481348812;177930,858412747;125133,908231625;348338,127402138;41980,4336078518;35755,0535904623;342668,816929481;613027,996242089;4
3;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
3;584412,045907231;172308,476694925;92973,9904083872;270062,106199728;31581,860161529;30268,8209040863;331833,744928425;-371106,205071575;1
3;611474,264033234;170225,862527309;101837,521345508;299174,707045904;34713,7166756908;31268,0050624217;314706,176431019;-56400,0286405553;2
3;665039,137713221;170080,080645762;111977,615268964;333186,689624318;38106,7148429622;33404,7687343593;318443,429888379;262043,401247824;3
3;748497,637824396;162177,720590447;123830,013331237;366918,024441775;41999,6745650871;36427,0143365937;341500,631740151;603544,032987975;4
4;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
4;602195,810322073;170777,064093961;93771,0625938017;262387,688424057;30934,4348670262;30918,9149766414;354960,773554507;-347979,176445492;1
4;655854,98543283;173073,382596738;103197,871479807;291046,37355652;34662,060465523;33157,1347211827;366864,927806536;18885,751361043;2
4;698662,027119624;161083,71254791;114555,559377685;318086,90781144;37889,7885494274;34389,8295867014;354823,65434228;373709,405703323;3
4;776050,822452439;159707,543751633;124612,715311758;350472,301225073;41626,1417608286;37430,3346481629;381616,87325825;755326,278961573;4
5;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
5;596007,015145619;175394,113062539;93739,0385459777;266391,472691271;31176,1961976983;30856,0451283263;349238,375644885;-353701,574355115;1
5;649619,907697045;181165,48623905;103520,877346013;292162,366009735;34651,9703345306;33231,4157574438;367218,764488373;13517,1901332578;2
5;720951,496809012;184146,004293689;114120,102267305;319544,097362633;38588,6602508043;36203,9000441081;396640,74117785;410157,931311108;3
5;765644,875118903;196229,663215402;127281,129307998;350745,340513929;42051,4442019222;38474,9815333722;403321,642777084;813479,574088192;4
6;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
6;584152,169110429;174726,23198992;93845,0380485457;264003,291648122;30968,5626043773;30355,1360440139;339706,372755289;-363233,577244711;1
6;630095,251345746;170611,929977311;101664,261108381;289399,810283656;34350,0189050241;32028,2872529223;343264,803773074;-19968,7734716367;2
6;669627,169782934;173723,708968476;110185,878718237;318178,995089203;37963,4372682751;33734,0351500564;343288,532525637;323319,759054001;3
6;729247,157572918;174274,462780393;120498,499044809;347293,313848685;41370,986504135;36140,8648141324;358217,956141549;681537,71519555;4
7;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
7;597859,015886458;168461,521299395;93636,5197483667;264223,471013871;31762,4488957763;30652,8214874341;346045,276040405;-356894,673959595;1
7;633994,513358327;169651,128701212;103073,171549501;288104,367130382;34916,0445909404;32145,8256823816;345406,233106334;-11488,4408532612;2
7;712189,193982217;171949,073867753;113422,988784872;315697,572018462;37690,7363345991;35365,5307139988;381961,439998039;370472,999144778;3
7;793336,1136451;164414,402644264;125604,558245635;353294,322835646;40915,5960038038;38310,0206515746;399626,018552705;770099,017697482;4
8;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
8;607528,306281891;172026,127319375;92711,7043765027;261193,278416985;30783,9930232955;31182,1773440507;363683,280440432;-339256,669559568;1
8;646454,348578198;164482,322748146;102620,654179071;292797,949650771;33466,1929536747;32437,4668530538;349614,407689774;10357,7381302061;2
8;713447,812569284;168277,138370884;113223,628056696;319125,238582055;36772,8360092189;35268,9980376067;377334,25025459;387691,988384797;3
8;764522,214418871;171119,286398377;124124,302190416;354155,531091404;40312,3756055922;37425,6600326899;379623,631897146;767315,620281942;4
9;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
9;613337,238160881;167932,495964425;92978,471839302;272643,295017637;31120,4289470244;31250,7893650123;353276,748956331;-349663,201043669;1
9;667891,639833921;171139,517990898;101826,507190394;301316,814227713;34347,2951853114;33561,2463129927;367979,294908408;18316,0938647388;2
9;717007,445807522;171474,744539469;111974,468414855;337861,879104969;37527,3958065405;35539,2876138796;365579,159406746;383895,253271485;3
9;750792,91695003;171669,137222301;123519,57442506;373122,913444046;41108,1228145481;36898,4821668933;347812,961321784;731708,214593269;4
10;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
10;578310,256171762;179960,710330465;93757,0029322836;262756,207381002;31171,7111542401;30330,838660089;340255,206374611;-362684,743625389;1
10;621154,211406354;185952,971642877;103212,150371042;291013,151246666;34133,244404255;32284,2873219692;346464,349705298;-16220,3939200908;2
10;674842,656533751;184141,682340108;113630,987101471;317508,841248175;37099,1497536549;34359,3735549543;356385,987215604;340165,593295513;3
10;769264,212643294;187460,148341735;123572,253812086;347319,219552836;40369,2616971359;38268,9744394012;407194,65148357;747360,244779083;4
11;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
11;632308,727586107;180216,778579514;93829,259579148;266147,862006549;31121,1439296625;32501,0202466249;388926,220403637;-314013,729596363;1
11;673859,373754459;175953,194689033;102654,260557676;297156,503135226;34216,4441520584;33992,5027377397;381792,857860792;67779,1282644297;2
11;730178,759265085;177239,522141339;114184,875613054;325338,636214768;37298,4879124451;36296,7312562569;394299,550409899;462078,678674329;3
11;825299,809216486;174893,77540882;124777,731195983;353850,42573138;40549,1571652917;40007,7433850122;441008,527147638;903087,205821967;4
12;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
12;586410,559599833;176604,576825155;95004,9534235389;266543,663759946;31135,5372551238;30520,6054569995;339810,37652938;-363129,57347062;1
12;634374,544194352;172871,528016134;103824,055985544;295556,009987384;33932,8807749647;32289,8428884194;341643,282574173;-21486,2908964474;2
12;722336,169273657;172403,117429573;114429,204495569;322928,847969343;37131,262223179;35789,5714681292;384460,400547011;362974,109650563;3
12;751583,211179121;171457,010213199;126351,563178057;356269,005048792;40554,1940831187;36921,6088556928;362943,850226659;725917,959877222;4
13;551770;173390;85505,43;240763,68;28398,92;81217,92;-702939,95;-702939,95;0
13;582857,461654257;170777,712926796;95335,186108813;262101,833950112;31187,9632809532;30145,4069832421;334864,784257932;-368075,165742068;1
13;662750,23206255;170260,385127411;103572,298053923;286569,64446373;34458,1646890131;33320,4246875984;375090,085295696;7014,91955362877;2
13;708302,323916679;167390,426545852;113573,324876525;315485,944830061;38454,7979428442;35027,7100185012;373150,972794599;380165,892348227;3
13;763084,583587636;172817,891205992;125647,025785117;346676,021415026;41710,8033692552;37436,0989917451;384432,525232484;764598,417580712;4
